timestamp,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,cpu_percent,mem_total,mem_available,mem_percent,mem_used,mem_free,mem_active,mem_inactive,mem_buffers,mem_cached,mem_shared,mem_slab,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes
2023-10-24 16:21:10,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117550080,3.4,14652395520,82431787008,255867056128,187895668736,3328282624,440274944000,405643264,12262232064,89.0,3890913,16429914,355799438336,2380550484992
2023-10-24 16:21:20,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522121699328,3.4,14648238080,82435837952,255867850752,187895668736,3328282624,440275050496,405651456,12262703104,89.0,3890913,16430039,355799438336,2380551189504
2023-10-24 16:21:30,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522121097216,3.4,14648836096,82435166208,255868231680,187895685120,3328282624,440275124224,405659648,12261425152,89.0,3890913,16430135,355799438336,2380551783424
2023-10-24 16:21:40,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522118606848,3.4,14651322368,82432536576,255866159104,187895701504,3328282624,440275267584,405667840,12261376000,89.0,3890913,16430218,355799438336,2380552274944
2023-10-24 16:21:50,2,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522115883008,3.4,14654029824,82429747200,255867379712,187895631872,3328282624,440275349504,405684224,12262260736,89.0,3890913,16430317,355799438336,2380553004032
2023-10-24 16:22:00,2,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522115211264,3.4,14654693376,82429022208,255867539456,187895664640,3328282624,440275410944,405692416,12261785600,89.0,3890913,16430545,355799438336,2380554273792
2023-10-24 16:22:10,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117156864,3.4,14652751872,82430926848,255866159104,187895640064,3328282624,440275447808,405692416,12260827136,89.0,3890913,16430627,355799438336,2380554781696
2023-10-24 16:22:20,2,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522120515584,3.4,14649376768,82434281472,255868960768,187895676928,3328286720,440275464192,405700608,12260880384,89.0,3890913,16430717,355799438336,2380555371520
2023-10-24 16:22:30,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522120941568,3.4,14648942592,82434666496,255866015744,187895681024,3328286720,440275513344,405708800,12261171200,89.0,3890913,16430828,355799438336,2380556076032
2023-10-24 16:22:40,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522115928064,3.4,14653956096,82429571072,255866343424,187895676928,3328286720,440275595264,405716992,12262084608,89.0,3890913,16431285,355799438336,2380559143936
2023-10-24 16:22:50,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522115211264,3.4,14654656512,82428776448,255866851328,187895631872,3328286720,440275689472,405729280,12262944768,89.0,3890913,16431411,355799438336,2380559946752
2023-10-24 16:23:00,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522116354048,3.4,14653501440,82429898752,255867670528,187895652352,3328286720,440275722240,405745664,12262326272,89.0,3890913,16431502,355799438336,2380560577536
2023-10-24 16:23:10,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522114699264,3.4,14655148032,82428227584,255867547648,187895648256,3328286720,440275746816,405753856,12261982208,89.0,3890913,16431645,355799438336,2380561347584
2023-10-24 16:23:20,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117828608,3.4,14652018688,82431315968,255869538304,187895623680,3328286720,440275787776,405753856,12261347328,89.0,3890913,16431736,355799438336,2380561929216
2023-10-24 16:23:30,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117799936,3.4,14652002304,82431205376,255868796928,187895681024,3328286720,440275914752,405786624,12263108608,89.0,3890913,16431849,355799438336,2380562609152
2023-10-24 16:23:40,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522113458176,3.4,14656344064,82426785792,255868850176,187895685120,3328286720,440275992576,405794816,12262903808,89.0,3890913,16431934,355799438336,2380563125248
2023-10-24 16:23:50,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522112831488,3.4,14656888832,82426310656,255867166720,187895697408,3328286720,440275922944,405868544,12262748160,89.0,3890913,16432082,355799438336,2380564091904
2023-10-24 16:24:00,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522113748992,3.4,14655463424,82427465728,255868043264,187895869440,3328286720,440276193280,405868544,12263530496,89.0,3890913,16432194,355799438336,2380565214208
2023-10-24 16:24:10,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522114985984,3.4,14654726144,82428096512,255868813312,187895787520,3328286720,440276299776,405876736,12263571456,89.0,3890913,16432258,355799438336,2380565664768
2023-10-24 16:24:20,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117455872,3.4,14652243968,82430480384,255868518400,187895611392,3328286720,440276398080,405893120,12263071744,89.0,3890913,16432467,355799438336,2380566778880
2023-10-24 16:24:30,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117758976,3.4,14651940864,82430676992,255870967808,187895517184,3328286720,440276504576,405893120,12263948288,89.0,3890913,16432535,355799438336,2380567196672
2023-10-24 16:24:40,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522118868992,3.4,14650826752,82431725568,255869489152,187895562240,3328286720,440276570112,405901312,12264054784,89.0,3890913,16432617,355799438336,2380567704576
2023-10-24 16:24:50,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522117079040,3.4,14652608512,82429915136,255868981248,187895549952,3328290816,440276594688,405909504,12264017920,89.0,3890913,16432688,355799438336,2380568237056
2023-10-24 16:25:00,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522114670592,3.4,14655008768,82427383808,255869566976,187895578624,3328290816,440276725760,405917696,12264558592,89.0,3890913,16432823,355799438336,2380569015296
2023-10-24 16:25:10,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522113708032,3.4,14655975424,82426400768,255869022208,187895549952,3328294912,440276738048,405913600,12265902080,89.0,3890913,16432875,355799438336,2380569326592
2023-10-24 16:25:20,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522106413056,3.4,14663249920,82419023872,255873159168,187895574528,3328294912,440276840448,405925888,12266508288,89.0,3890913,16432961,355799438336,2380569850880
2023-10-24 16:25:30,3,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522110533632,3.4,14659125248,82423193600,255868538880,187895574528,3328294912,440276795392,405934080,12265869312,89.0,3890913,16433093,355799438336,2380570588160
2023-10-24 16:25:40,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522110476288,3.4,14659174400,82423119872,255868973056,187895578624,3328294912,440276819968,405942272,12265316352,89.0,3890913,16433173,355799438336,2380571063296
2023-10-24 16:25:50,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522113118208,3.4,14656528384,82425880576,255869165568,187895529472,3328294912,440276705280,405950464,12264857600,89.0,3890913,16433251,355799438336,2380571563008
2023-10-24 16:26:00,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522110566400,3.4,14659076096,82423316480,255868493824,187895549952,3328294912,440276721664,405958656,12265566208,89.0,3890913,16433337,355799438336,2380572136448
2023-10-24 16:26:10,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522114224128,3.4,14655410176,82426933248,255869263872,187895558144,3328294912,440276770816,405966848,12265586688,89.0,3890913,16433426,355799438336,2380572636160
2023-10-24 16:26:20,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522144219136,3.4,14625415168,82456911872,255839711232,187895484416,3328294912,440276787200,405966848,12265652224,89.0,3890913,16433520,355799438336,2380573242368
2023-10-24 16:26:30,3,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522144522240,3.4,14625112064,82457161728,255838597120,187895484416,3328294912,440276840448,405970944,12265562112,89.0,3890913,16433583,355799438336,2380573635584
2023-10-24 16:26:40,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522142867456,3.4,14626762752,82455465984,255838248960,187895517184,3328294912,440276885504,405979136,12265709568,89.0,3890913,16433723,355799438336,2380574372864
2023-10-24 16:26:50,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522141384704,3.4,14628245504,82453917696,255839096832,187895508992,3328294912,440276951040,405979136,12265680896,89.0,3890913,16433859,355799438336,2380575323136
2023-10-24 16:27:00,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522140467200,3.4,14629142528,82452971520,255839055872,187895496704,3328294912,440277000192,406003712,12265340928,89.0,3890913,16433952,355799438336,2380575970304
2023-10-24 16:27:10,3,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522141065216,3.4,14628536320,82453544960,255838482432,187895472128,3328294912,440277032960,406011904,12266168320,89.0,3890913,16434006,355799438336,2380576297984
2023-10-24 16:27:20,3,2,7929.0,7.0,85,0,0,7,0,548,0.4,540687409152,522139189248,3.4,14630408192,82451558400,255840460800,187895500800,3328294912,440277147648,406020096,12266704896,89.0,3890913,16434126,355799438336,2380576977920
2023-10-24 16:27:30,4,2,7929.0,7.0,85,0,0,7,0,548,0.5,540687409152,522141458432,3.4,14628110336,82453749760,255840980992,187895463936,3328294912,440277254144,406020096,12266983424,89.0,3890913,16434257,355799438336,2380577833984
2023-10-24 16:27:40,4,2,7929.0,7.0,85,0,0,7,0,548,0.3,540687409152,522139504640,3.4,14630060032,82451759104,255840534528,187895484416,3328294912,440277295104,406028288,12266237952,89.0,3890913,16434449,355799438336,2380579587072
